표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000391,N26,0,0,0,0,134,67,220,167,64,47,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N15,0,0,0,0,182,150,322,349,159,165,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N15,495,102,683,222,239,118,0,0,0,0,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N31,0,0,0,0,213,57,90,25,41,22,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N26,249,28,572,144,167,79,0,0,0,0,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N31,151,25,322,60,0,0,0,0,0,0,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N62,0,0,0,0,248,89,212,104,63,42,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000391,N62,402,138,539,147,54,18,0,0,0,0,0,0,종로3가.탑골공원,126.9899877751,37.5703605443,을지로3가,478.31097736621257
100000392,N15,13,9,205,42,128,24,0,0,0,0,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N15,0,0,0,0,52,9,98,30,60,25,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N26,0,0,132,52,140,64,0,0,0,0,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N26,0,0,0,0,0,0,128,34,85,22,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N31,0,0,0,0,0,0,30,20,25,16,5,5,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N62,50,13,132,45,58,15,0,0,0,0,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N31,0,0,50,39,40,40,20,14,0,0,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000392,N62,0,0,0,0,23,17,84,37,48,19,0,0,종로4가.종묘,126.9947218896,37.5705069968,을지로4가,526.5048948112651
100000393,N15,0,0,0,0,28,30,64,143,28,64,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N26,36,20,70,69,35,34,0,0,0,0,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N15,86,43,118,90,55,44,0,0,0,0,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N31,0,0,0,0,46,83,23,25,6,5,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N31,20,50,48,113,0,0,0,0,0,0,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N26,0,0,0,0,12,34,42,70,5,14,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
100000393,N62,0,0,0,0,64,35,45,29,24,25,0,0,종로4가.종묘,126.995396,37.570637,을지로4가,507.6049105519569
